"","year","Low income","Lower middle income","Upper middle income","High income","indicator_name"
"1",2013,5.70714,18.3004081632653,38.142541509434,73.4350465753425,"Proporción de la población que usa internet (%)"
"2",2014,6.70992913043478,21.349358,42.8955603773585,75.7185438356164,"Proporción de la población que usa internet (%)"
"3",2015,7.90711043478261,24.6651304,47.2025711538462,77.6084273972603,"Proporción de la población que usa internet (%)"
"4",2016,10.2402308333333,28.4620622,51.3160692307692,80.1593666666667,"Proporción de la población que usa internet (%)"
"5",2017,12.0135143478261,32.6804214,55.9208528301887,81.6225246753247,"Proporción de la población que usa internet (%)"
"6",2018,14.0408045,38.28114,61.4559387755102,83.7618803278689,"Proporción de la población que usa internet (%)"
"7",2019,16.3168861904762,41.4644854166667,65.21316,85.5324666666667,"Proporción de la población que usa internet (%)"
"8",2020,17.4100481818182,46.6472212765957,70.5676196078431,87.9315092307692,"Proporción de la población que usa internet (%)"
"9",2021,20.2214444444444,52.0697222222222,75.0151653846154,89.9236492307692,"Proporción de la población que usa internet (%)"
"10",2022,22.8300789473684,54.1347673913044,77.0286192307692,90.9727015384615,"Proporción de la población que usa internet (%)"
"11",2023,24.1676666666667,56.7070382978723,79.2040288461538,91.6304609375,"Proporción de la población que usa internet (%)"
